characters_archaeologe;Archaeologe
sequences_geiger_talk_mit_1#3;[The violinist stops checking the acoustic and switches back to the talking-position.]
spokentexts_geiger_talk_mit_1_st_2;Moyenne. Je ne m'attendais pas à mieux de la part d'une vieille caverne de pierre.
sequences_geiger_talk_mit_2#1;[The violinist stands there checking the acoustic. He could pluck a string from time to time, then move the bow over the strings and look around.]
spokentexts_geiger_talk_mit_2_st_1;Mr Kreutzer ?
sequences_geiger_talk_mit_2#3;[The violinist stops checking the acoustic and switches back to the talking-position.]
spokentexts_geiger_talk_mit_2_st_2;Oui ?
sequences_geiger_talk_mit_2#5;[Dialogue between Ohi and violinist starts.]
spokentexts_geiger_talk_mit_3_st_1;Kreutzer ferait un parfait voleur. Il est en forme, charmant, fréquente les bonnes personnes... Pas étonnant qu'il ait figuré en haut de la liste de Legrand.
spokentexts_geiger_talk_mit_3_st_2;D'un autre côté, les meilleurs voleurs sont ceux qu'on ne soupçonnerait jamais. Les gens inintéressants, dociles. Ceux que l'on ignore toujours.
texts_junge_mo_talk_mit_1;Parler à Matt
texts_junge_top_a10_junge_glauben_ja_tseq_title;Je te crois.
spokentexts_junge_top_a10_junge_glauben_ja_tseq_st_1;Hmm. Nous sommes bien d'accord qu'une statue sans bouche ni cordes vocales ne peut pas parler ?
spokentexts_junge_top_a10_junge_glauben_ja_tseq_st_2;Hmm. Ouais... Je suis d'accord avec ça.
spokentexts_junge_top_a10_junge_glauben_ja_tseq_st_3;OK. Ça veut dire que tu as entendu autre chose et nous devons trouver la chose ou la personne responsable.
spokentexts_junge_top_a10_junge_glauben_ja_tseq_st_4;Bien reçu !
texts_junge_top_a10_junge_glauben_nein_tseq_title;Je ne te crois pas.
spokentexts_junge_top_a10_junge_glauben_nein_tseq_st_1;Est-ce que je crois qu'une vieille statue égyptienne sans bouche ni cordes vocales t'a parlé ? Non.
spokentexts_junge_top_a10_junge_glauben_nein_tseq_st_2_direction;wants to protest
spokentexts_junge_top_a10_junge_glauben_nein_tseq_st_2;Mais...!
spokentexts_junge_top_a10_junge_glauben_nein_tseq_st_3;Mais ça ne veut pas dire que tu n'as rien entendu. Nous devrions essayer de trouver ce que tu as entendu, ou qui.
spokentexts_junge_top_a10_junge_glauben_nein_tseq_st_4;Hmm. D'accord.
texts_junge_top_a10_junge_nil_a_nicht_recht_tseq_title;Dis lui que ça ne te plait pas.
spokentexts_junge_top_a10_junge_nil_a_nicht_recht_tseq_st_1;Tu pourrais dire à ta mère que ça ne te plait pas.
spokentexts_junge_top_a10_junge_nil_a_nicht_recht_tseq_st_2;Elle ne ferait jamais rien contre ta volonté, n'est-ce pas ?
spokentexts_junge_top_a10_junge_nil_a_nicht_recht_tseq_st_3_direction;kommt die Erkenntnis
spokentexts_junge_top_a10_junge_nil_a_nicht_recht_tseq_st_3;Hmm... Je suppose que vous avez raison !
spokentexts_junge_top_a10_junge_nil_a_nicht_recht_tseq_st_4;Si je suis suffisamment têtu, elle finira par envoyer paître le professeur. Merci !
sequences_junge_top_a10_junge_nil_a_nicht_recht_tseq#4;[There is a movement upstairs at the entrance. The doors open, the safe rolls in. Ohi looks to the entrance.]
spokentexts_junge_top_a10_junge_nil_a_nicht_recht_tseq_st_5;Ah ! Nous ne devons pas manquer ça. L'Oeil arrive !
sequences_junge_top_a10_junge_nil_a_nicht_recht_tseq#6;[Ohi and the boy head to the stairs.]
texts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_title;As-tu pensé à elle à un moment ?
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_1;Tu aimes ta vie comme elle est et tu ne veux rien changer, c'est ça ?
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_2_direction;Confirming
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_2;Mmm-hmm.
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_3;Mais t'es-tu déjà demandé si ta mère était heureuse ?
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_4;Tu n'es pas le centre du monde, tu sais.
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_5;Si tu es malheureux, tu dois faire quelque chose pour y remédier. Parfois il faut savoir se jeter à l'eau ! Et dans ce cas, il te faut tout le soutien possible.
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_6;Vous voulez dire que ma mère est malheureuse ?
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_7;Je ne sais pas. Qu'en penses-tu ?
sequences_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq#7;[There is a movement upstairs at the entrance. The doors open, the safe rolls in. Ohi looks to the entrance.]
spokentexts_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq_st_8;Ah ! Nous ne devons pas manquer ça. L'Oeil arrive !
sequences_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq#9;[Ohi and the boy head to the stairs.]
sequences_junge_top_a10_junge_nil_b_an_sie_gedacht_tseq#10;"[Continues at the entrance with the sequence ""arrival_safe"".]"
texts_junge_top_a10_junge_nilkreuzfahrt_tseq_title;Croisière sur le Nil
spokentexts_junge_top_a10_junge_nilkreuzfahrt_tseq_st_1;Je suis presque jaloux de toi. Partir en croisière sur le Nil... Ce doit être super !
spokentexts_junge_top_a10_junge_nilkreuzfahrt_tseq_st_2;Ouais, je suppose.
spokentexts_junge_top_a10_junge_nilkreuzfahrt_tseq_st_3;Tu n'as pas l'air emballé.
spokentexts_junge_top_a10_junge_nilkreuzfahrt_tseq_st_4;Je crois que Maman veut que le professeur nous accompagne.
spokentexts_junge_top_a10_junge_nilkreuzfahrt_tseq_st_5;Et ça ne te plait pas ?
sequences_junge_top_a10_junge_nilkreuzfahrt_tseq#5;[The boy hunches his shoulders, looks to the floor.]
spokentexts_junge_top_a10_junge_nilkreuzfahrt_tseq_st_6;Tu peux tout me raconter.
spokentexts_junge_top_a10_junge_nilkreuzfahrt_tseq_st_7;Et si Maman se mariait avec le professeur ? Et ne travaillait plus pour la dame ? Il faudrait déménager à Londres et je devrais aller dans une nouvelle école.
texts_junge_top_a10_junge_statue_tseq_title;Statue qui parle
spokentexts_junge_top_a10_junge_statue_tseq_st_1;Et, euh, la statue te parle-t-elle en ce moment ?
spokentexts_junge_top_a10_junge_statue_tseq_st_2;Vous pensez que je suis cinglé ?!
spokentexts_junge_top_a10_junge_statue_tseq_st_3;Non ! Certainement pas. Je me suis dit que tu devais avoir les oreilles plus affûtées que les miennes. Des oreilles capables d'entendre les statues.
spokentexts_junge_top_a10_junge_statue_tseq_st_4;Vous êtes un sacré policier, Mr Zellner ! C'est un mystère et vous êtes là à faire des blagues !
spokentexts_junge_top_a10_junge_statue_tseq_st_5;Tu as raison. C'est juste que...
spokentexts_junge_top_a10_junge_statue_tseq_st_6;Vous ne me croyez pas ?
spokentexts_junge_ex_1_st_1;Ce voyage est une superbe opportunité pour Matt de découvrir le monde.
spokentexts_junge_ex_1_st_2;Il ne se rend probablement pas compte de la chance qu'il a de pouvoir voyager autant.
spokentexts_junge_talk_mit_1_st_1;Ohé, Matt !
sequences_junge_talk_mit_1#2;[The boy whirls around Ohi, points at the statue that is standing next to the wall.]
spokentexts_junge_talk_mit_1_st_2;La statue a parlé !
sequences_junge_talk_mit_1#4;[The boy turns back again, stares at the statue.]
spokentexts_junge_talk_mit_1_st_3;La statue... a parlé.
spokentexts_junge_talk_mit_1_st_4;Oui !
spokentexts_junge_talk_mit_1_st_5;Et qu'a-t-elle dit ?
sequences_junge_talk_mit_1#8;[The boy turns back to Ohi again, wants to say something, then pauses.]
spokentexts_junge_talk_mit_1_st_6;Elle a dit... Elle était...
sequences_junge_talk_mit_1#10;[The boy waves to Ohi, Ohi bends down to him and whispers a word into his ear. Then they switch back to the normal talking-position.]
spokentexts_junge_talk_mit_1_st_7;C'est un très vilain mot !
spokentexts_junge_talk_mit_1_st_8_direction;keen
spokentexts_junge_talk_mit_1_st_8;Je sais !
spokentexts_junge_talk_mit_1_st_9;Un mot anglais en plus !
spokentexts_junge_talk_mit_1_st_10;Ne trouves-tu pas bizarre qu'une vieille statue égyptienne parle anglais ?
spokentexts_junge_talk_mit_1_st_11_direction;blankly
spokentexts_junge_talk_mit_1_st_11;Ne trouves-tu pas étrange qu'une statue parle tout court ?
spokentexts_junge_talk_mit_1_st_12_direction;Shy
spokentexts_junge_talk_mit_1_st_12;C'était ma prochaine question !
texts_pflegerin_mo_talk_mit_1-3;Parler à Mlle Miller
texts_pflegerin_top_a10_pflegerin_archaeologe_tseq_title;Professeur Lucien
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_1;Avez-vous découvert pourquoi le Professeur Lucien a quitté le gaillard avant si soudainement la nuit dernière ?
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_2;Non, pas vraiment. Nous avons discuté brièvement. Il était toujours très nerveux.
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_3;C'était déjà le cas à bord du train. Cela semble chronique chez lui.
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_4;Ce doit être en rapport avec le cambriolage au musée. Cela l'a profondément affecté.
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_5;Mais il m'a dit de ne pas m'inquiéter. Il a dit que tout serait bientôt terminé.
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_6_direction;Surprised
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_6;Vraiment ? Que voulait-il dire ?
spokentexts_pflegerin_top_a10_pflegerin_archaeologe_tseq_st_7;Oh... Je... Je ne lui ai pas demandé, Officier.
texts_pflegerin_top_a10_pflegerin_besucher_tseq_title;Visiteurs
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_1;Y a-t-il d'autres passagers du navire ici ?
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_2;Oh, oui ! Nous somme venus en groupe.
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_3_direction;enumerates
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_3;David Kreutzer, le violoniste, était avec nous. Ainsi que Mlle Mayers et Mr Inch.
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_6_direction;Slightly disapprovingly
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_6;Il semble s'être remis rapidement de la mort de la Baronne. Il a l'air très décontracté.
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_5;Je l'ai croisé. Il prend la vie du bon côté, comme on dit. Où est Mr Kreutzer ?
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_9;Il est du côté de la salle au trésor. Matty est en bas dans le hall principal. J'ai peur d'entendre le son d'une chose précieuse se brisant d'un instant à l'autre.
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_10_direction;with a chuckle
spokentexts_pflegerin_top_a10_pflegerin_besucher_tseq_st_10;Matt fera attention, Mlle Miller.
texts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_title;Croisière sur le Nil
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_1;Demain vous partez sur le Nil si j'ai bien compris ?
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_2;Tout à fait. Ça va être une expérience incroyable.
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_3;Mais vous ne semblez pas très excitée.
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_4_direction;frightened
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_4;Oh !
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_5;Mais je le suis ! Lady Westmacott est très généreuse de nous avoir invités Matty et moi. Il va tant apprendre !
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_6;Mais...?
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_7;Eh bien...
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_8;Le Professeur Lucien s'est proposé de nous accompagner.
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_9;Matt en apprendra encore plus ! Et j'imagine que ce ne sera pas déplaisant pour vous non plus.
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_10;Non. Je... Je ne suis pas certaine de la façon dont Matt réagira si le Edgar se joint à nous.
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_12_direction;Thoughtfully
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_12;Je comprends...
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_13;Je pourrais faire un peu de reconnaissance et voir ce qu'il en pense.
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_14_direction;grateful, full of hope
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_14;Vous le feriez ?
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_15_direction;grateful
spokentexts_pflegerin_top_a10_pflegerin_kreuzfahrt_tseq_st_15;Oh merci, Officier Zellner!
texts_pflegerin_top_a10_pflegerin_verabschieden_tseq_title;Dire au revoir
spokentexts_pflegerin_top_a10_pflegerin_verabschieden_tseq_st_1;Ah ! Je viens de me rappeler d'une urgence !
spokentexts_pflegerin_top_a10_pflegerin_verabschieden_tseq_st_2;Ne me laissez pas vous retenir, Officier.
spokentexts_pflegerin_top_a10_pflegerin_verabschieden_tseq_st_3;Je vais continuer mon tour du musée.
spokentexts_pflegerin_top_a10_pflegerin_verabschieden_tseq_st_4;Oh, oui ! Il y a tant à voir !
spokentexts_pflegerin_ex_1_st_1;Mlle Miller est surement arrivée au musée avec Lady Westmacott.
spokentexts_pflegerin_ex_1_st_2;La dame doit être célèbre en Égypte aussi.
spokentexts_pflegerin_talk_mit_1_st_1;Mlle Miller ? Je suis heureux de vous voir ici !
sequences_pflegerin_talk_mit_1#2;[The carer turns to Ohi, switches to talking-Idle.]
spokentexts_pflegerin_talk_mit_1_st_2;Oh, Officier Zellner !
spokentexts_pflegerin_talk_mit_1_st_3;J'ai entendu ce qui vous était arrivé à bord. Terrible. Vraiment terrible !
spokentexts_pflegerin_talk_mit_1_st_4;Tout est bien qui finit bien. Vous attendez le Professeur Lucien ?
spokentexts_pflegerin_talk_mit_1_st_5_direction;Confirming
spokentexts_pflegerin_talk_mit_1_st_5;Mmm-hmm.
spokentexts_pflegerin_talk_mit_2_st_1;Mlle Miller ?
sequences_pflegerin_talk_mit_2#2;[The carer turns to Ohi, switches to the talking-Idle.]
spokentexts_pflegerin_talk_mit_2_st_2;Oui ?
sequences_pflegerin_talk_mit_2#4;[Conversation between Ohi and the carer starts.]
spokentexts_pflegerin_talk_mit_3_st_1;Je ne sais pas si Mlle Miller et le Professeur Lucien seront heureux ensemble.
spokentexts_pflegerin_talk_mit_3_st_2;Je l'espère en tout cas.
texts_schriftstellerin_mo_talk_mit_1-3;Parler à Lady Westmacott
texts_schriftstellerin_top_a10_schriftstellerin_ausstellung_tseq_title;Le gala
spokentexts_schriftstellerin_top_a10_schriftstellerin_ausstellung_tseq_st_1;Viendrez vous au gala ce soir, Lady Westmacott ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_ausstellung_tseq_st_2;Mais bien sûr !
spokentexts_schriftstellerin_top_a10_schriftstellerin_ausstellung_tseq_st_3;Les antiquités, l'atmosphère agréable... Et qui sait, peut être y aura-t-il un autre cambriolage spectaculaire...
spokentexts_schriftstellerin_top_a10_schriftstellerin_ausstellung_tseq_st_4;Et votre croisière ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_ausstellung_tseq_st_5;Le bateau ne part que demain. Et croyez moi, j'annulerais la croisière pour assister à ça !
texts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_title;Le Corbeau
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_1;Supposons que le Corbeau soit toujours au large... Qui est-ce ?
sequences_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq#1;[Ohi turns to the hall, makes an extensive gesture.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_2;Si nous étions dans un roman, ce serait la personne que vous soupçonnez le moins.
sequences_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq#3;[Ohi turns around, looks at the writer.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_3_direction;at first, he is just acting
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_3;Est-ce une confession, Lady Westmacott ?
sequences_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq#5;[The old lady in the wheelchair smiles.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_4;"Que savons-nous de ce ""Nouveau Corbeau"" ?"
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_5;C'est un homme prêt à tout.
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_6;Doit-il forcément être un homme ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_7;Et comment savons-nous qu'il n'y a qu'une seule personne ? Il pourrait y avoir plusieurs individus se faisant passer pour le Corbeau ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_8;Donc on ne sait rien.
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_9;Ce n'est pas entièrement vrai. Nous savons qu'il ou elle veut l'Oeil du Sphinx et frappera probablement ici.
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_10;En supposant qu'il ou elle soit toujours dans les parages.
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_11_direction;depressed
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_11;C'est peut être la fin pour moi, Lady Westmacott.
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_12;L'Inspecteur Legrand va arriver sous peu et me renvoyer à mon hôtel. Je reviendrai ce soir pour le gala, en espérant que le Corbeau ait l'audace de tenter un cambriolage.
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_13;Demain soir je devrais rentrer en Suisse. Quelle fin décevante après toutes ces aventures.
spokentexts_schriftstellerin_top_a10_schriftstellerin_der_rabe_tseq_st_14;Ce ne serait pas une fin triomphante. Mais cela pourrait être pire. Au moins vous êtes toujours en vie, Officier !
texts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_title;Docteur Gebhardt
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_1;Pensez-vous que le Dr Gebhardt était le Corbeau ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_2;"""Était""? Pensez-vous qu'il est mort ?"
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_3;La lettre laissait croire à un suicide.
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_4;Voilà votre réponse. Cela ressemble-t-il au Corbeau ? Être démasqué ? Choisir la facilité ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_5;C'est exactement ce que je pense ! Le Corbeau n'aurait pas commis un meurtre, pour ensuite être capturé et finir au fond de l'eau.
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_6;Vous ne voulez pas que tout soit terminé, n'est-ce pas ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_7;C'est ma chance d'accomplir quelque chose. Ça ne peut pas être déjà terminé.
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_8;Vous avez tout de même résolu le meurtre de la Baronne ! Vous êtes un héros !
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_9;Ce n'est pas ce que disent les journaux. Et moi non plus. Quelque chose cloche. Je peux contribuer davantage.
sequences_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq#9;[The Writer hints at some hieroglyphics. Ohi follows her gaze.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_10;Attention, Officier. À vouloir voler trop près du soleil...
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_11_direction;moved
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_11;Est-ce le mythe d'Icare ?
sequences_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq#12;[The writer pulls her hand back.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_12_direction;Shy
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_12;Pour être tout à fait honnête... non.
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_13;L'histoire est grecque. Et n'a été écrite qu'il y a un millier d'années.
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_14_direction;whispering conspiratorially
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_14;Je comptais sur son effet dramatique.
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_15_direction;impressed
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_15;Ohh !
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_16_direction;Smiling
spokentexts_schriftstellerin_top_a10_schriftstellerin_doktor_gebhardt_tseq_st_16;Ça a bien fonctionné !
texts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_title;Vie bien remplie
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_1_direction;impressed
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_1;Vous avez eu une vie bien remplie, Lady Westmacott.
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_2;Que sous-entendez-vous, Mr Zellner ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_3;Que je devrais me préparer à quitter la scène ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_4;Car je n'en ai pas l'intention !
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_5_direction;Shocked
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_5;Oh, je ne voulais pas...
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_6_direction;full of hope
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_6;Je suis là car la vie est là, Officier.
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_7_direction;Sad
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_7;Ou... était.
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_8_direction;Sad
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_8;Je n'ai jamais vécu autant qu'ici.
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_9_direction;Sad
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_9;Ni la célébrité ni l'argent ne peuvent acheter cela.
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_10_direction;depressed
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_10;Je comprends.
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_11_direction;Coughing politely, pulls herself together
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_11;Ahem.
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_12_direction;Shy
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_12;Je suis désolée, Officier Zellner. Une telle démonstration ne convient pas à une femme de mon âge, et encore moins à une femme anglaise !
spokentexts_schriftstellerin_top_a10_schriftstellerin_erfolgreiches_leben_tseq_st_13;Parlons d'autre chose.
texts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_title;Votre fils
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_1;Votre fils... Vous ne l'avez pas beaucoup mentionné...ou peut être que si, mais pas par son nom ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_2;Vous êtes attentif, Mr Zellner.
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_3;Je me demandais comment vous pouviez en savoir autant sur le mariage malheureux de Mlle Miller.
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_4;Il l'a connue et l'a accompagnée en Amérique pour démarrer une nouvelle vie... Il est facile de changer de nom mais plus compliqué de changer qui vous êtes.
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_7;J'ai arrêté de payer ses factures de bar. Arrêté de payer les journalistes pour qu'ils étouffent le tout.
sequences_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq#7;[Cut to the stairs.]
sequences_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq#8;[The boy appears, jumps down the stairs.]
sequences_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq#9;[Cut back, close-up to the writer. From now on the boy stands next to the statue.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_8;Il a mes yeux, non ?
sequences_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq#11;[The writer smiles happily, gazes at her grandson.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_9;Le roman de Partout est pour lui, n'est-ce pas ?
spokentexts_schriftstellerin_top_a10_schriftstellerin_ihr_sohn_tseq_st_10;À défaut d'avoir fourni un bon père à Matthew, je peux au moins l'aider à prendre un bon départ dans la vie.
texts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_title;Enquête de meurtre
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_1;Quand j'ai enquêté sur le bateau, je me serais cru dans un de vos romans. 
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_2_direction;generous, friendly
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_2;Vous avez eu de la chance ! C'était un meurtre inhabituel.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_3;La plupart des meurtres sont commis dans le feu de l'action ou alors par des idiots. Ils ne sont pas... inspirés.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_4;Mais Gebhardt avait pensé à tout. Il aurait pu s'en tirer.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_5_direction;doubtful
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_5;Hmm. Je ne sais pas, il a fait beaucoup trop d'erreurs.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_6;Il ne pouvait pas deviner que la Baronne, à la limite de l'évanouissement, allait verrouiller la porte de sa cabine.  
